progress,invariant1,invariant2,invariant3,invariant4,invariant5,invariant6
3.333333333333333148e-01,6.810672732060862877e-01,-2.378423735654456861e-01,1.241272968953209413e-03,5.172572839509513853e-01,1.293088109838333333e+00,-6.196997890954335231e-02
3.434343434343433699e-01,5.576590383897918057e-01,-2.417520348915433437e-01,1.322475237125907708e-03,5.191631566481246240e-01,1.365654202210950352e+00,-6.238056411523986572e-02
3.535353535353535359e-01,9.212224428691401235e-01,-2.478312610315127062e-01,1.401712037636201934e-03,5.224826511754879776e-01,1.450678257896623302e+00,-6.267788452568842650e-02
3.636363636363636465e-01,1.105540536534913576e+00,-2.547095711426843323e-01,1.477814635303424922e-03,5.245084036773386416e-01,1.551704831108771998e+00,-6.313947592260300834e-02
3.737373737373737015e-01,1.096182926791726686e+00,-2.611739721678392190e-01,1.549845708988153992e-03,5.262316531208220960e-01,1.670246104493117834e+00,-6.407304433181726377e-02
3.838383838383838120e-01,9.458775378217163521e-01,-2.664925112531725260e-01,1.617322571546032104e-03,5.290693767941325731e-01,1.807036368517846769e+00,-6.580160811499431717e-02
3.939393939393938671e-01,9.454221817816041984e-01,-2.715483438603802924e-01,1.679775857520542526e-03,5.294947772979619049e-01,1.961617101685237063e+00,-6.866525662689515475e-02
4.040404040404040331e-01,9.283435173858817224e-01,-2.762551936240335015e-01,1.736542244359904046e-03,5.293813015517924159e-01,2.132325344267248290e+00,-7.303131964473315307e-02
4.141414141414141437e-01,8.966840329461084336e-01,-2.805407071766952698e-01,1.787134354010940906e-03,5.284255304741333203e-01,2.316939601722799669e+00,-7.929115574972789293e-02
4.242424242424241987e-01,9.814596612240418239e-01,-2.849111443339982785e-01,1.830776971400284968e-03,5.224692329355929976e-01,2.511624192992175431e+00,-8.784626984180271547e-02
4.343434343434343092e-01,1.146195849917044374e+00,-2.896061779573794182e-01,1.865956628025814724e-03,5.099488509153971005e-01,2.710124256656040842e+00,-9.907256586269248821e-02
4.444444444444444198e-01,1.145059795143004377e+00,-2.938711506195563761e-01,1.891465533914628598e-03,4.999621879233216992e-01,2.905581035199527040e+00,-1.132569851489275553e-01
4.545454545454544748e-01,1.086062893073141744e+00,-2.975003532499367886e-01,1.907064490215196976e-03,4.768818515134536362e-01,3.088654200779473502e+00,-1.305229943448615315e-01
4.646464646464646409e-01,1.078234678363585886e+00,-3.006267261310945904e-01,1.912671189747954447e-03,4.578138084518078577e-01,3.249375105983730361e+00,-1.507433616790702091e-01
4.747474747474746959e-01,1.017797257034626535e+00,-3.030648310879911489e-01,1.908373621096608706e-03,4.666953645146155183e-01,3.383241845322972896e+00,-1.735665873003813808e-01
4.848484848484848064e-01,8.702347914792454286e-01,-3.046538727385910139e-01,1.895003133572770388e-03,4.634473385416715274e-01,3.484267475684686755e+00,-1.984551659052672945e-01
4.949494949494949725e-01,6.598041835340545669e-01,-3.054616196403432404e-01,1.874152957815436796e-03,4.677776893847002682e-01,3.545583739138820967e+00,-2.246264101752497855e-01
5.050505050505050830e-01,3.847693852563912054e-01,-3.057072498247304093e-01,1.848134142504321686e-03,4.598081822784994555e-01,3.564733179481126335e+00,-2.511179838565397171e-01
5.151515151515151381e-01,4.704251413502454904e-01,-3.057433090555708444e-01,1.817879652292090460e-03,4.702046765185145527e-01,3.544355243594606630e+00,-2.769027874430393665e-01
5.252525252525251931e-01,6.810239977139723733e-01,-3.054069390354521296e-01,1.781979196248767829e-03,4.783312433296878496e-01,3.490527140871187761e+00,-3.010024788277706476e-01
5.353535353535353591e-01,6.490991195454388629e-01,-3.046665024636013297e-01,1.739588098676766439e-03,4.868566305312522213e-01,3.408424999741456851e+00,-3.225593132367251537e-01
5.454545454545454142e-01,6.978410001887108693e-01,-3.033644477310036280e-01,1.690703891960570505e-03,4.936452248983493329e-01,3.302678232739155728e+00,-3.408886268934633312e-01
5.555555555555554692e-01,5.822077309491421326e-01,-3.018571215824907283e-01,1.635877057814911703e-03,4.980781590301606720e-01,3.178457730338223985e+00,-3.555216921689154375e-01
5.656565656565656353e-01,5.654606027064040807e-01,-2.999776076872039954e-01,1.576073568473671666e-03,5.060846512712969814e-01,3.041327307939698521e+00,-3.661647571077544794e-01
5.757575757575756903e-01,3.118628735235992044e-01,-2.987082051059295473e-01,1.512714898541903715e-03,5.110579255879778016e-01,2.896730669304708350e+00,-3.727078829963677564e-01
5.858585858585857453e-01,2.986056571648443292e-01,-2.972805566200690808e-01,1.447123142004154341e-03,5.179419373553848516e-01,2.750449180875753186e+00,-3.752288011798616263e-01
5.959595959595959114e-01,3.532058341754273356e-01,-2.953530392155183648e-01,1.379407744541677472e-03,5.228850539742839754e-01,2.608283300869454813e+00,-3.739173843522451413e-01
6.060606060606060774e-01,4.246000592928243500e-01,-2.927704154043329066e-01,1.309469637871720242e-03,5.266225033866647198e-01,2.475783887478433698e+00,-3.690383258153734358e-01
6.161616161616161325e-01,1.148325670041633106e+00,-2.851144133154319693e-01,1.235864952955121427e-03,5.274458469592812060e-01,2.357603032337314275e+00,-3.608899212633610576e-01
6.262626262626261875e-01,1.010614837252765685e+00,-2.777913699330464836e-01,1.158046851681214517e-03,5.251839595663856386e-01,2.255421222588864349e+00,-3.497842701646112218e-01
6.363636363636363535e-01,9.571382588058703345e-01,-2.702843008602128227e-01,1.077458382176560035e-03,5.232532122811657249e-01,2.168087467822993109e+00,-3.360518460538263752e-01
6.464646464646464086e-01,9.128661829941399075e-01,-2.625507831995199104e-01,9.952393134860816875e-04,5.243365705533251653e-01,2.093748430610236522e+00,-3.200347250708125424e-01
6.565656565656564636e-01,1.017298745835535145e+00,-2.533580054505740753e-01,9.124642659626928248e-04,5.239686987724918588e-01,2.031996203359210273e+00,-3.020617461815466864e-01
