progress,invariant1,invariant2,invariant3,invariant4,invariant5,invariant6
5.695452889730682200e-01,2.066821439733647292e+00,-2.921184577167049934e+00,1.914851135248243075e-01,1.007750890883190698e+00,3.442940016247282742e+00,-2.148094068463580975e+00
5.895696839583414173e-01,2.028865928749443270e+00,-3.074085648803168702e+00,2.229854660860767501e-01,1.017575190964524756e+00,3.052992689582020081e+00,-1.813621817361537270e+00
6.096218004124686063e-01,1.980485322172560236e+00,-3.219543811609256068e+00,2.584068795907576988e-01,1.022826459837351099e+00,2.675948417341556418e+00,-1.484418850562970293e+00
6.286636584815610274e-01,1.880719270562157375e+00,-3.352096537771268814e+00,2.975806185649800817e-01,1.024955522162767529e+00,2.342309670939792809e+00,-1.171407949430154583e+00
6.463299798828351372e-01,1.803929264821851008e+00,-3.472106715663959342e+00,3.401943510763003053e-01,1.026594255546001699e+00,2.078147889568800366e+00,-8.794340639720956698e-01
6.631547727249432755e-01,1.734818128366793166e+00,-3.578842909021558327e+00,3.858601701989741173e-01,1.027585527380653563e+00,1.909591481190197504e+00,-6.067843789727227488e-01
6.798429461607541358e-01,1.685465251820713162e+00,-3.672213558019406410e+00,4.341153780912730409e-01,1.027888549586538192e+00,1.858284126006820358e+00,-3.458850198629966899e-01
6.968057248871240006e-01,1.699080270375123547e+00,-3.754352308133117599e+00,4.844589357885076830e-01,1.025836806447589122e+00,1.934535555036734245e+00,-8.574295829114753076e-02
7.134807505858211663e-01,1.645542832787644905e+00,-3.820991009886710366e+00,5.363072842957572472e-01,1.023930813241020088e+00,2.125499934772282717e+00,1.839191069597775063e-01
7.291537482407810522e-01,1.706035456415018414e+00,-3.875922594587019265e+00,5.889995851355251943e-01,1.016647164178996476e+00,2.399098274512960760e+00,4.684267707182399598e-01
7.394297376720385673e-01,1.856033657060192077e+00,-3.920200007494984540e+00,6.418143891197402029e-01,1.004612335187340610e+00,2.714587592484345890e+00,7.659157878812071774e-01
7.597351814064622344e-01,1.882195849759068507e+00,-3.949501033375966585e+00,6.939283096794307548e-01,9.941165340705827580e-01,3.022466757724394881e+00,1.067591179550027691e+00
7.699912715520995654e-01,2.239653471727176992e+00,-3.967942053928767088e+00,7.442934842206322399e-01,9.947797912296768574e-01,3.266369177941264912e+00,1.359616177572474882e+00
7.905149933904667137e-01,2.284811643972435302e+00,-3.970295868068176137e+00,7.917765032545153181e-01,9.844191878282972930e-01,3.400468340022541280e+00,1.626474082746633520e+00
7.997756019839190600e-01,2.580977819054500966e+00,-3.956958737978735652e+00,8.351302429311047160e-01,9.941363885898164554e-01,3.384751346854212528e+00,1.855033544661402134e+00
8.157945004887019458e-01,2.637206334219706516e+00,-3.927170956072768337e+00,8.731169796265942917e-01,9.985664600574802874e-01,3.200722983101634167e+00,2.036686735877594856e+00
8.230424888841944009e-01,2.871921189213605174e+00,-3.878378613107371642e+00,9.045571966480793202e-01,9.977803988023643544e-01,2.855041558119788547e+00,2.168580945752207167e+00
8.354477854139094051e-01,2.969016789789178379e+00,-3.811488322784367888e+00,9.283526486448668846e-01,1.007185624940706070e+00,2.371701887742115211e+00,2.253589130378658822e+00
8.411693450271532368e-01,3.122903005694033229e+00,-3.724521480090126069e+00,9.436818397159754124e-01,1.011984271120030643e+00,1.802252367868942606e+00,2.299237111755852769e+00
8.522350016379069970e-01,3.213249809401897750e+00,-3.619104485969777851e+00,9.499851306445525889e-01,1.016119819860825224e+00,1.209356647549804098e+00,2.316506261992387294e+00
8.579882444437342270e-01,3.117973132911846079e+00,-3.502687731641415780e+00,9.473302402166450253e-01,1.018692963633274662e+00,6.612809917561642825e-01,2.317710769581277752e+00
8.691385183834422490e-01,3.128670066741825462e+00,-3.373845296960279683e+00,9.361438640135265610e-01,1.017066784865084506e+00,2.207943755969820898e-01,2.313990628639247316e+00
8.771238457181893544e-01,2.871946121929888740e+00,-3.246782806263220689e+00,9.172232493489506089e-01,1.015923491254139721e+00,-6.030112039998835466e-02,2.312827769690165791e+00
8.854498549027003396e-01,2.882452105029686962e+00,-3.112656029208162423e+00,8.914607966906792358e-01,1.015230108552616306e+00,-1.499315503512961556e-01,2.316124031830731234e+00
8.939548611872383255e-01,2.795013458947266827e+00,-2.978209681334317516e+00,8.595648723258378920e-01,1.018429834220819119e+00,-3.297277705699203781e-02,2.319517865748292440e+00
9.019664840610697176e-01,2.714297091177753085e+00,-2.844387048225965664e+00,8.223577181780883372e-01,1.022851002957404720e+00,3.025010886322384018e-01,2.312846266499306580e+00
9.092058609757811549e-01,2.601314749954141803e+00,-2.714228018969263800e+00,7.806456486284363283e-01,1.030059731551237867e+00,8.619084660417453136e-01,2.281500905896777009e+00
9.153932331093095343e-01,2.449787169852387425e+00,-2.591420477232379671e+00,7.352173664012036092e-01,1.036683323369095966e+00,1.636478917578460646e+00,2.208830900468674585e+00
9.207601346395786202e-01,2.380559203261154888e+00,-2.473106782669758363e+00,6.867415080361737312e-01,1.040319595889937832e+00,2.594442526314213904e+00,2.079845495789823584e+00
9.257380629688389817e-01,1.985459301319306036e+00,-2.378836989430537674e+00,6.358699304973683963e-01,1.019336467775786126e+00,3.668492999706082003e+00,1.886150648341816005e+00
9.305178864290707397e-01,2.079221914654258097e+00,-2.284283236649675253e+00,5.830479712050086194e-01,1.008609507401015737e+00,4.756122503645295652e+00,1.630979345204267572e+00
9.352102191137106058e-01,2.113983760749794438e+00,-2.194446425938457512e+00,5.284545580231253536e-01,9.753260730537223200e-01,5.739170990689960838e+00,1.331714729970496558e+00
